Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,min_MPG,max_MPG,avg_MPG
2022,Honda,Accord Sport 1.5T,New,32465,5,3,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA113387,221843,1,5,5,5,5,5,5,LA,Dealer,29,35,32
2023,Honda,CR-V EX-L,New,36148,5,1516,Urban Gray Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300064,23038,6,5,5,5,4,4,5,LA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,Odyssey EX-L,New,42360,5,4978,Platinum White Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H66PB035941,PB035941,10,5,5,4,4,4,5,WI,Dealer,18.93220339,27.80508475,23.36864407
2023,Honda,Pilot TrailSport,New,51845,4.1,522,Sky,awd,Gasoline,automatic,3.5L V6 24V GDI DOHC,5FNYG1H64PB003184,PB003184,5,5,5,5,5,5,5,LA,Dealer,18.98181818,24.96363636,21.97272727
2023,Honda,Ridgeline RTL-E,New,49320,4.8,1889,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F72PB001589,E9766,5,5,4.8,4.8,4.2,5,5,IL,Dealer,18.10909091,24.21818182,21.16363636
2023,Honda,Pilot Sport,New,43455,4.5,950,Platinum White,awd,Gasoline,automatic,3.5L V6 24V GDI DOHC,5FNYG1H32PB002069,S12225,4,5,5,5,5,5,5,IL,Dealer,19.10945274,26.10447761,22.60696517
2023,Honda,HR-V Sport,New,28790,5,3543,Platinum White Pearl,awd,Gasoline,automatic,2.0L I4 16V GDI DOHC,3CZRZ2H56PM701362,97635,1000,4,5,4,5,5,5,IL,Dealer,26.17241379,31.44827586,28.81034483
2022,Honda,Accord Sport 1.5T,New,29175,4.8,1732,Crystal Black Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F33NA098725,P1932,5,5,5,5,5,5,5,IL,Dealer,29,35,32
2023,Honda,CR-V Hybrid Sport Touring,New,39845,4.8,1732,Meteorite Gray Metallic,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H92PH801159,P1834,138,5,3,4,4,5,5,IL,Dealer,40,34,37
2023,Honda,Odyssey Touring,New,45895,4.6,1874,Obsidian Blue Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H87PB031463,PB031463,8,5,5,4,4,4,5,IL,Dealer,19.05405405,27.97297297,23.51351351
2023,Honda,Passport EX-L,New,42395,4.6,1874,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H51PB003274,PB003274,10,4.9,4.8,4.8,4.6,4.8,4.8,IL,Dealer,19.23529412,24.23529412,21.73529412
2023,Honda,Odyssey Elite,New,50915,4.6,1874,Modern Steel Metallic,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H95PB032376,PB032376,8,5,5,4,4,4,5,IL,Dealer,19,28,23.5
2022,Honda,Pilot Black Edition,New,53165,4.8,1978,Crystal,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H7XNB078624,22797,4,5,5,5,5,5,5,IL,Dealer,19,26,22.5
2022,Honda,Pilot Sport,New,41770,4.7,344,Platinum White Pearl,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H31NB102676,NB102676,5,5,5,5,5,5,5,TN,Dealer,19,26,22.5
2023,Honda,HR-V LX,New,25045,4.6,31,Gray,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC,3CZRZ1H38PM725512,N23H132,11,4,5,4,5,5,5,KY,Dealer,27.03846154,31.76923077,29.40384615
2022,Honda,Pilot EX-L,New,41605,5,1944,Crystal Black Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF5H5XNB038648,H38648,3,5,5,5,5,5,5,TN,Dealer,20,27,23.5
2022,Honda,Pilot Sport,New,41770,5,1944,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H32NB095303,H95303,2,5,5,5,5,5,5,TN,Dealer,19,26,22.5
2023,Honda,Passport Elite,New,46250,4.7,709,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H00PB006106,PB006106,0,5,5,4.9,5,4.9,5,IN,Dealer,19,24,21.5
2023,Honda,Ridgeline RTL-E,New,48005,5,1026,Radiant Red Metallic II,awd,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,5FPYK3F76PB014586,2RD1183,10,5,4.8,4.8,4.2,5,5,IN,Dealer,18,24,21
2022,Honda,Pilot TrailSport,New,48105,4.7,64,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H81NB096843,L220673,4,5,5,5,5,5,5,IN,Dealer,19,25,22
2023,Honda,CR-V Hybrid Sport Touring,New,39845,5,5663,Black,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH800955,H800955,1,5,3,4,4,5,5,KY,Dealer,40,34,37
2023,Honda,CR-V EX-L,New,35005,4.6,146,Lunar Silver Metallic,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,7FARS3H75PE002511,1902511,256,5,5,5,4,4,5,TN,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Pilot Sport,New,41375,4.6,146,Lunar Silver Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB072552,1972552,225,5,5,5,5,5,5,TN,Dealer,19,26,22.5
2022,Honda,Pilot TrailSport,New,46500,3,765,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB102230,6311924,0,5,5,5,5,5,5,OH,Dealer,19,25,22
2022,Honda,Pilot Black Edition,New,53560,2.8,1046,White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H74NB078098,4NB078098,6,5,5,5,5,5,5,OH,Dealer,19,26,22.5
2023,Honda,CR-V Hybrid Sport,New,34296,4.7,1992,Platinum White Pearl,fwd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H59PH702958,62499,2,5,3,4,4,5,5,OH,Dealer,41.8,35.2,38.5
2023,Honda,CR-V EX,New,34860,4.8,1043,Platinum White Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS4H40PL003533,40576-42,7,5,5,5,4,4,5,OH,Dealer,26.14772727,31.85227273,29
2022,Honda,Pilot Elite,New,51665,4.8,1043,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H09NB079816,29132,5303,5,5,5,5,5,5,OH,Dealer,19,26,22.5
2022,Honda,Pilot Sport,New,39995,5,306,Lunar Silver Metallic,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF6H39NB080233,225042,2,5,5,5,5,5,5,MI,Dealer,19,26,22.5
2022,Honda,Passport Elite,New,47620,4.9,306,Radiant Red Metallic II,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYF8H08NB022907,226017,169,5,5,4.9,5,4.9,5,MI,Dealer,19,24,21.5
2022,Honda,Accord Sport 2.0T,New,35150,4.8,140,Platinum,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA017168,H4081,4,5,5,5,5,5,5,NC,Dealer,22,32,27
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.8,140,Still Night Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH800820,H4114,4,5,3,4,4,5,5,NC,Dealer,40,34,37
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.4,0,Still Night Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H92PH800836,7300836,10,5,3,4,4,5,5,OH,Dealer,40,34,37
2023,Honda,Ridgeline Black Edition,New,47525,4.8,401,Black,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F82PB006901,PB006901,4,5,4.8,4.8,4.2,5,5,PA,Dealer,18.07692308,24.26923077,21.17307692
2022,Honda,Accord Sport 1.5T,New,28988,4.7,1659,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F37NA099358,NA099358,5,5,5,5,5,5,5,FL,Dealer,29,35,32
2023,Honda,CR-V Hybrid Sport Touring,New,43095,4.4,20,Crystal Black Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H93PH800957,HO7519,9,5,3,4,4,5,5,NC,Dealer,40,34,37
2022,Honda,Accord Sport 1.5T,New,30470,5,43,Sonic Gray Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38NA093102,H6690,6,5,5,5,5,5,5,VA,Dealer,29,35,32
2023,Honda,Pilot Touring,New,49790,4.7,2444,Crystal Black Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI DOHC,5FNYG2H77PB000942,PB000942,5,4.7,4.6,4.5,4.5,4.6,4.7,FL,Dealer,18.25,24.85,21.55
2022,Honda,Pilot TrailSport,New,46500,5,3,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB099983,CHS222154,3,5,5,5,5,5,5,NC,Dealer,19,25,22
2023,Honda,Odyssey Elite,New,50915,5,1103,Obsidian Blue Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H90PB019146,Q00095,1,5,5,4,4,4,5,VA,Dealer,19,28,23.5
2022,Honda,Accord Sport 1.5T,New,29375,5,1664,Sonic Gray Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F33NA108279,35476,6,5,5,5,5,5,5,VA,Dealer,29,35,32
2022,Honda,Pilot Touring 7-Passenger,New,48860,4.4,878,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H65NB095676,40924-04,10,5,5,5,5,5,5,VA,Dealer,19,26,22.5
2023,Honda,Odyssey EX-L,New,41855,4.4,878,Obsidian Blue Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H69PB024674,40003-12,10,5,5,4,4,4,5,VA,Dealer,18.93220339,27.80508475,23.36864407
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.9,1737,Still Night Pearl,awd,Hybrid,cvt,Gas/Electric I-4 2.0 L/122,2HKRS6H92PH800819,Q00819,14,5,3,4,4,5,5,NC,Dealer,40,34,37
2022,Honda,Pilot EX-L,New,43605,5,2068,Lunar,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H53NB089964,220937,6,5,5,5,5,5,5,MD,Dealer,19,26,22.5
2023,Honda,Ridgeline RTL-E,New,46420,5,2068,Gray,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F72PB010521,230059,15,5,4.8,4.8,4.2,5,5,MD,Dealer,18.10909091,24.21818182,21.16363636
2017,Honda,Accord LX,Used,12499,4.5,188,White,fwd,Gasoline,automatic,2.4L I4 16V GDI DOHC,1HGCR2F31HA214342,214342,86667,4.8,4.8,4.8,4.8,4.8,4.9,FL,Dealer,27,36,31.5
2022,Honda,CR-V LX,New,28045,4.7,3094,Crystal,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,7FARW1H29NE013800,X13800,10,4.9,4.8,4.7,4.8,4.7,4.9,FL,Dealer,28,34,31
2023,Honda,Ridgeline RTL,New,43470,4.4,124,Pacific Pewter Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F55PB009698,PB009698,4,5,4.8,4.8,4.2,5,5,PA,Dealer,17.825,24.075,20.95
2023,Honda,Odyssey Elite,New,51310,5,1571,Radiant Red Metallic II,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H9XPB032535,H23232,10,5,5,4,4,4,5,NJ,Dealer,19,28,23.5
2023,Honda,CR-V EX-L,New,36505,4.8,733,Gold,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H71PH401970,230036N,5,5,5,5,4,4,5,NY,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,CR-V EX,New,32030,4.8,830,Sonic Gray Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRW2H55NH618006,220184,2,4.9,4.8,4.7,4.8,4.7,4.9,CT,Dealer,27,32,29.5
2022,Honda,Accord Sport 1.5T,New,30470,5,949,Sonic Gray Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F30NA059557,H22425,5471,5,5,5,5,5,5,CT,Dealer,29,35,32
2023,Honda,CR-V Hybrid Sport Touring,New,39845,4.4,273,Gray,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH801238,R23042,3,5,3,4,4,5,5,VT,Dealer,40,34,37
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.3,1925,Platinum White Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H96PH800791,PH800791,8,5,3,4,4,5,5,CT,Dealer,40,34,37
2022,Honda,Passport TrailSport,New,41302,4.2,2065,White,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H61NB030769,W221016,6,5,5,4.9,5,4.9,5,MA,Dealer,19,24,21.5
2022,Honda,Pilot Sport,New,41375,5,951,Black,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H34NB087042,NB087042R,11,5,5,5,5,5,5,MA,Dealer,19,26,22.5
2023,Honda,Pilot Touring,New,50240,5,1161,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI DOHC,5FNYG1H79PB002380,MH12199,5,4.7,4.6,4.5,4.5,4.6,4.7,MA,Dealer,18.25,24.85,21.55
